127.0.0.1 - - [21/Oct/2020:09:40:00 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [21/Oct/2020:09:40:06 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 9375
0:0:0:0:0:0:0:1 - - [21/Oct/2020:09:40:07 +0530] "GET /E-Commerce-Project/CSS/Style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:09:40:07 +0530] "GET /E-Commerce-Project/JS/Script.js HTTP/1.1" 200 1138
0:0:0:0:0:0:0:1 - - [21/Oct/2020:09:40:07 +0530] "GET /E-Commerce-Project/Images/Products-img/acer-na-gaming-laptop-original-imafrcpya8phvptc.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:09:40:07 +0530] "GET /E-Commerce-Project/Images/Products-img/add-to-basket.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:09:40:07 +0530] "GET /E-Commerce-Project/Images/Products-img/hp-original-imafrzbfruxgg23e.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:09:40:09 +0530] "GET /E-Commerce-Project/Images/Products-img/apple-iphone-se-mxd02hn-a-original-imafrcpjfehbbqgb.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:09:40:09 +0530] "GET /E-Commerce-Project/Images/Products-img/samsung-galaxy-s20-sm-g985fzadinu-original-imafpfkbqg3hpmgt.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:09:40:09 +0530] "GET /E-Commerce-Project/Images/Products-img/motorola-one-fusion-pakf0002in-original-imafsh2zf4y3kayz.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:09:40:09 +0530] "GET /E-Commerce-Project/Images/Products-img/nokia-105-ss-ta-1203-original-imafmf5zgqnmtswb.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:09:40:10 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [21/Oct/2020:09:44:30 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 9375
0:0:0:0:0:0:0:1 - - [21/Oct/2020:09:44:30 +0530] "GET /E-Commerce-Project/JS/Script.js HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [21/Oct/2020:09:47:25 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 9375
0:0:0:0:0:0:0:1 - - [21/Oct/2020:09:47:25 +0530] "GET /E-Commerce-Project/JS/Script.js HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [21/Oct/2020:10:54:24 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 9750
0:0:0:0:0:0:0:1 - - [21/Oct/2020:10:54:24 +0530] "GET /E-Commerce-Project/JS/Script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:22:15 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 9767
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:22:15 +0530] "GET /E-Commerce-Project/JS/Script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:22:35 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 9772
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:22:41 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 9772
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:22:58 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 9785
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:26:52 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 10711
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:28:47 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 10588
0:0:0:0:0:0:0:1 - - [21/Oct/2020:11:46:06 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 10596
